date,age,account,old_balance,new_balance,amount,type,message
2000-07-31,27,loan,237726.23,235908.74,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-07-31,27,oa,157806.48,159508.69,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-07-31,27,sa,254494.84,254938.67,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-07-31,27,ma,74728.25,75320.21,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-08-31,27,oa,159508.69,157691.2,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2000-08-31,27,loan,235908.74,234091.25,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-08-31,27,oa,157691.2,159393.41,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-08-31,27,sa,254938.67,255382.5,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-08-31,27,ma,75320.21,75912.17,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-09-30,27,oa,159393.41,157575.92,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2000-09-30,27,loan,234091.25,232273.76,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-09-30,27,oa,157575.92,159278.13,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-09-30,27,sa,255382.5,255826.33,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-09-30,27,ma,75912.17,76504.13,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-10-31,27,oa,159278.13,157460.64,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2000-10-31,27,loan,232273.76,230456.27,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-10-31,27,oa,157460.64,159162.85,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-10-31,27,sa,255826.33,256270.16,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-10-31,27,ma,76504.13,77096.09,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-11-30,27,oa,159162.85,157345.36,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2000-11-30,27,loan,230456.27,228638.78,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-11-30,27,oa,157345.36,159047.57,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-11-30,27,sa,256270.16,256713.99,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-11-30,27,ma,77096.09,77688.05,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-12-31,27,oa,159047.57,157230.08,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2000-12-31,27,loan,228638.78,226821.29,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2000-12-31,27,oa,157230.08,158932.29,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2000-12-31,27,sa,256713.99,257157.82,443.83,inflow,sa-Allocation for SA at age 27-443.83
2000-12-31,27,ma,77688.05,78280.01,591.96,inflow,ma-Allocation for MA at age 27-591.96
2000-12-31,27,oa,158932.29,159263.4,331.11,inflow,oa-Interest for ra at age 27-331.11
2000-12-31,27,sa,257157.82,258015.01,857.19,inflow,sa-Interest for ra at age 27-857.19
2000-12-31,27,ma,78280.01,78540.94,260.93,inflow,ma-Interest for ra at age 27-260.93
2000-12-31,27,sa,258015.01,258065.01,50.0,inflow,sa-Extra Interest for ra at age 27-50.00
2001-01-31,27,oa,159263.4,157445.91,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2001-01-31,27,loan,226821.29,225003.8,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2001-01-31,27,oa,157445.91,159148.12,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2001-01-31,27,sa,258065.01,258508.84,443.83,inflow,sa-Allocation for SA at age 27-443.83
2001-01-31,27,ma,78540.94,79132.9,591.96,inflow,ma-Allocation for MA at age 27-591.96
2001-02-28,26,oa,159148.12,157330.63,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 26--1817.49"
2001-02-28,26,loan,225003.8,223186.31,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 26--1817.49"
2001-02-28,26,oa,157330.63,159032.84,1702.21,inflow,oa-Allocation for OA at age 26-1702.21
2001-02-28,26,sa,258508.84,258952.67,443.83,inflow,sa-Allocation for SA at age 26-443.83
2001-02-28,26,ma,79132.9,79724.86,591.96,inflow,ma-Allocation for MA at age 26-591.96
2001-03-31,26,oa,159032.84,157215.35,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 26--1817.49"
2001-03-31,26,loan,223186.31,221368.82,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 26--1817.49"
2001-03-31,26,oa,157215.35,158917.56,1702.21,inflow,oa-Allocation for OA at age 26-1702.21
2001-03-31,26,sa,258952.67,259396.5,443.83,inflow,sa-Allocation for SA at age 26-443.83
2001-03-31,26,ma,79724.86,80316.82,591.96,inflow,ma-Allocation for MA at age 26-591.96
2001-04-30,26,oa,158917.56,157100.07,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 26--1817.49"
2001-04-30,26,loan,221368.82,219551.33,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 26--1817.49"
2001-04-30,26,oa,157100.07,158802.28,1702.21,inflow,oa-Allocation for OA at age 26-1702.21
2001-04-30,26,sa,259396.5,259840.33,443.83,inflow,sa-Allocation for SA at age 26-443.83
2001-04-30,26,ma,80316.82,80908.78,591.96,inflow,ma-Allocation for MA at age 26-591.96
2001-05-31,28,oa,158802.28,156984.79,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-05-31,28,loan,219551.33,217733.84,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-05-31,28,oa,156984.79,158687.0,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-05-31,28,sa,259840.33,260284.16,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-05-31,28,ma,80908.78,81500.74,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-06-30,28,oa,158687.0,156869.51,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-06-30,28,loan,217733.84,215916.35,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-06-30,28,oa,156869.51,158571.72,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-06-30,28,sa,260284.16,260727.99,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-06-30,28,ma,81500.74,82092.7,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-07-31,28,oa,158571.72,156754.23,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-07-31,28,loan,215916.35,214098.86,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-07-31,28,oa,156754.23,158456.44,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-07-31,28,sa,260727.99,261171.82,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-07-31,28,ma,82092.7,82684.66,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-08-31,28,oa,158456.44,156638.95,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-08-31,28,loan,214098.86,212281.37,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-08-31,28,oa,156638.95,158341.16,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-08-31,28,sa,261171.82,261615.65,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-08-31,28,ma,82684.66,83276.62,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-09-30,28,oa,158341.16,156523.67,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-09-30,28,loan,212281.37,210463.88,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-09-30,28,oa,156523.67,158225.88,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-09-30,28,sa,261615.65,262059.48,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-09-30,28,ma,83276.62,83868.58,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-10-31,28,oa,158225.88,156408.39,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-10-31,28,loan,210463.88,208646.39,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-10-31,28,oa,156408.39,158110.6,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-10-31,28,sa,262059.48,262503.31,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-10-31,28,ma,83868.58,84460.54,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-11-30,28,oa,158110.6,156293.11,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-11-30,28,loan,208646.39,206828.9,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-11-30,28,oa,156293.11,157995.32,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-11-30,28,sa,262503.31,262947.14,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-11-30,28,ma,84460.54,85052.5,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-12-31,28,oa,157995.32,156177.83,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2001-12-31,28,loan,206828.9,205011.41,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2001-12-31,28,oa,156177.83,157880.04,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2001-12-31,28,sa,262947.14,263390.97,443.83,inflow,sa-Allocation for SA at age 28-443.83
2001-12-31,28,ma,85052.5,85644.46,591.96,inflow,ma-Allocation for MA at age 28-591.96
2001-12-31,28,oa,157880.04,158208.96,328.92,inflow,oa-Interest for ra at age 28-328.92
2001-12-31,28,sa,263390.97,264268.94,877.97,inflow,sa-Interest for ra at age 28-877.97
2001-12-31,28,ma,85644.46,85929.94,285.48,inflow,ma-Interest for ra at age 28-285.48
2001-12-31,28,sa,264268.94,264318.94,50.0,inflow,sa-Extra Interest for ra at age 28-50.00
2002-01-31,28,oa,158208.96,156391.47,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2002-01-31,28,loan,205011.41,203193.92,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2002-01-31,28,oa,156391.47,158093.68,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2002-01-31,28,sa,264318.94,264762.77,443.83,inflow,sa-Allocation for SA at age 28-443.83
2002-01-31,28,ma,85929.94,86521.9,591.96,inflow,ma-Allocation for MA at age 28-591.96
2002-02-28,27,oa,158093.68,156276.19,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2002-02-28,27,loan,203193.92,201376.43,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2002-02-28,27,oa,156276.19,157978.4,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2002-02-28,27,sa,264762.77,265206.6,443.83,inflow,sa-Allocation for SA at age 27-443.83
2002-02-28,27,ma,86521.9,87113.86,591.96,inflow,ma-Allocation for MA at age 27-591.96
2002-03-31,27,oa,157978.4,156160.91,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2002-03-31,27,loan,201376.43,199558.94,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2002-03-31,27,oa,156160.91,157863.12,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2002-03-31,27,sa,265206.6,265650.43,443.83,inflow,sa-Allocation for SA at age 27-443.83
2002-03-31,27,ma,87113.86,87705.82,591.96,inflow,ma-Allocation for MA at age 27-591.96
2002-04-30,27,oa,157863.12,156045.63,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 27--1817.49"
2002-04-30,27,loan,199558.94,197741.45,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 27--1817.49"
2002-04-30,27,oa,156045.63,157747.84,1702.21,inflow,oa-Allocation for OA at age 27-1702.21
2002-04-30,27,sa,265650.43,266094.26,443.83,inflow,sa-Allocation for SA at age 27-443.83
2002-04-30,27,ma,87705.82,88297.78,591.96,inflow,ma-Allocation for MA at age 27-591.96
2002-05-31,29,oa,157747.84,155930.35,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-05-31,29,loan,197741.45,195923.96,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-05-31,29,oa,155930.35,157632.56,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-05-31,29,sa,266094.26,266538.09,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-05-31,29,ma,88297.78,88889.74,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-06-30,29,oa,157632.56,155815.07,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-06-30,29,loan,195923.96,194106.47,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-06-30,29,oa,155815.07,157517.28,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-06-30,29,sa,266538.09,266981.92,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-06-30,29,ma,88889.74,89481.7,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-07-31,29,oa,157517.28,155699.79,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-07-31,29,loan,194106.47,192288.98,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-07-31,29,oa,155699.79,157402.0,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-07-31,29,sa,266981.92,267425.75,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-07-31,29,ma,89481.7,90073.66,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-08-31,29,oa,157402.0,155584.51,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-08-31,29,loan,192288.98,190471.49,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-08-31,29,oa,155584.51,157286.72,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-08-31,29,sa,267425.75,267869.58,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-08-31,29,ma,90073.66,90665.62,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-09-30,29,oa,157286.72,155469.23,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-09-30,29,loan,190471.49,188654.0,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-09-30,29,oa,155469.23,157171.44,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-09-30,29,sa,267869.58,268313.41,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-09-30,29,ma,90665.62,91257.58,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-10-31,29,oa,157171.44,155353.95,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-10-31,29,loan,188654.0,186836.51,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-10-31,29,oa,155353.95,157056.16,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-10-31,29,sa,268313.41,268757.24,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-10-31,29,ma,91257.58,91849.54,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-11-30,29,oa,157056.16,155238.67,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-11-30,29,loan,186836.51,185019.02,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-11-30,29,oa,155238.67,156940.88,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-11-30,29,sa,268757.24,269201.07,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-11-30,29,ma,91849.54,92441.5,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-12-31,29,oa,156940.88,155123.39,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2002-12-31,29,loan,185019.02,183201.53,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2002-12-31,29,oa,155123.39,156825.6,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2002-12-31,29,sa,269201.07,269644.9,443.83,inflow,sa-Allocation for SA at age 29-443.83
2002-12-31,29,ma,92441.5,93033.46,591.96,inflow,ma-Allocation for MA at age 29-591.96
2002-12-31,29,oa,156825.6,157152.32,326.72,inflow,oa-Interest for ra at age 29-326.72
2002-12-31,29,sa,269644.9,270543.72,898.82,inflow,sa-Interest for ra at age 29-898.82
2002-12-31,29,ma,93033.46,93343.57,310.11,inflow,ma-Interest for ra at age 29-310.11
2002-12-31,29,sa,270543.72,270593.72,50.0,inflow,sa-Extra Interest for ra at age 29-50.00
2003-01-31,29,oa,157152.32,155334.83,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2003-01-31,29,loan,183201.53,181384.04,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2003-01-31,29,oa,155334.83,157037.04,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2003-01-31,29,sa,270593.72,271037.55,443.83,inflow,sa-Allocation for SA at age 29-443.83
2003-01-31,29,ma,93343.57,93935.53,591.96,inflow,ma-Allocation for MA at age 29-591.96
2003-02-28,28,oa,157037.04,155219.55,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2003-02-28,28,loan,181384.04,179566.55,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2003-02-28,28,oa,155219.55,156921.76,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2003-02-28,28,sa,271037.55,271481.38,443.83,inflow,sa-Allocation for SA at age 28-443.83
2003-02-28,28,ma,93935.53,94527.49,591.96,inflow,ma-Allocation for MA at age 28-591.96
2003-03-31,28,oa,156921.76,155104.27,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2003-03-31,28,loan,179566.55,177749.06,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2003-03-31,28,oa,155104.27,156806.48,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2003-03-31,28,sa,271481.38,271925.21,443.83,inflow,sa-Allocation for SA at age 28-443.83
2003-03-31,28,ma,94527.49,95119.45,591.96,inflow,ma-Allocation for MA at age 28-591.96
2003-04-30,28,oa,156806.48,154988.99,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 28--1817.49"
2003-04-30,28,loan,177749.06,175931.57,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 28--1817.49"
2003-04-30,28,oa,154988.99,156691.2,1702.21,inflow,oa-Allocation for OA at age 28-1702.21
2003-04-30,28,sa,271925.21,272369.04,443.83,inflow,sa-Allocation for SA at age 28-443.83
2003-04-30,28,ma,95119.45,95711.41,591.96,inflow,ma-Allocation for MA at age 28-591.96
2003-05-31,30,oa,156691.2,154873.71,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-05-31,30,loan,175931.57,174114.08,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-05-31,30,oa,154873.71,156575.92,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-05-31,30,sa,272369.04,272812.87,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-05-31,30,ma,95711.41,96303.37,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-06-30,30,oa,156575.92,154758.43,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-06-30,30,loan,174114.08,172296.59,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-06-30,30,oa,154758.43,156460.64,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-06-30,30,sa,272812.87,273256.7,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-06-30,30,ma,96303.37,96895.33,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-07-31,30,oa,156460.64,154643.15,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-07-31,30,loan,172296.59,170479.1,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-07-31,30,oa,154643.15,156345.36,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-07-31,30,sa,273256.7,273700.53,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-07-31,30,ma,96895.33,97487.29,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-08-31,30,oa,156345.36,154527.87,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-08-31,30,loan,170479.1,168661.61,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-08-31,30,oa,154527.87,156230.08,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-08-31,30,sa,273700.53,274144.36,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-08-31,30,ma,97487.29,98079.25,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-09-30,30,oa,156230.08,154412.59,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-09-30,30,loan,168661.61,166844.12,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-09-30,30,oa,154412.59,156114.8,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-09-30,30,sa,274144.36,274588.19,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-09-30,30,ma,98079.25,98671.21,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-10-31,30,oa,156114.8,154297.31,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-10-31,30,loan,166844.12,165026.63,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-10-31,30,oa,154297.31,155999.52,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-10-31,30,sa,274588.19,275032.02,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-10-31,30,ma,98671.21,99263.17,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-11-30,30,oa,155999.52,154182.03,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-11-30,30,loan,165026.63,163209.14,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-11-30,30,oa,154182.03,155884.24,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-11-30,30,sa,275032.02,275475.85,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-11-30,30,ma,99263.17,99855.13,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-12-31,30,oa,155884.24,154066.75,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2003-12-31,30,loan,163209.14,161391.65,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2003-12-31,30,oa,154066.75,155768.96,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2003-12-31,30,sa,275475.85,275919.68,443.83,inflow,sa-Allocation for SA at age 30-443.83
2003-12-31,30,ma,99855.13,100447.09,591.96,inflow,ma-Allocation for MA at age 30-591.96
2003-12-31,30,oa,155768.96,156093.48,324.52,inflow,oa-Interest for ra at age 30-324.52
2003-12-31,30,sa,275919.68,276839.41,919.73,inflow,sa-Interest for ra at age 30-919.73
2003-12-31,30,ma,100447.09,100781.91,334.82,inflow,ma-Interest for ra at age 30-334.82
2003-12-31,30,sa,276839.41,276889.41,50.0,inflow,sa-Extra Interest for ra at age 30-50.00
2004-01-31,30,oa,156093.48,154275.99,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 30--1817.49"
2004-01-31,30,loan,161391.65,159574.16,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 30--1817.49"
2004-01-31,30,oa,154275.99,155978.2,1702.21,inflow,oa-Allocation for OA at age 30-1702.21
2004-01-31,30,sa,276889.41,277333.24,443.83,inflow,sa-Allocation for SA at age 30-443.83
2004-01-31,30,ma,100781.91,101373.87,591.96,inflow,ma-Allocation for MA at age 30-591.96
2004-02-29,29,oa,155978.2,154160.71,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2004-02-29,29,loan,159574.16,157756.67,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2004-02-29,29,oa,154160.71,155862.92,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2004-02-29,29,sa,277333.24,277777.07,443.83,inflow,sa-Allocation for SA at age 29-443.83
2004-02-29,29,ma,101373.87,101965.83,591.96,inflow,ma-Allocation for MA at age 29-591.96
2004-03-31,29,oa,155862.92,154045.43,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 29--1817.49"
2004-03-31,29,loan,157756.67,155939.18,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 29--1817.49"
2004-03-31,29,oa,154045.43,155747.64,1702.21,inflow,oa-Allocation for OA at age 29-1702.21
2004-03-31,29,sa,277777.07,278220.9,443.83,inflow,sa-Allocation for SA at age 29-443.83
